Movies watched: 12
Movie start: 2, end: 3, category: 9
Movie start: 3, end: 5, category: 1
Movie start: 5, end: 7, category: 16
Movie start: 7, end: 8, category: 12
Movie start: 8, end: 11, category: 11
Movie start: 11, end: 13, category: 7
Movie start: 14, end: 15, category: 4
Movie start: 15, end: 17, category: 7
Movie start: 17, end: 20, category: 13
Movie start: 20, end: 21, category: 16
Movie start: 21, end: 23, category: 10
Movie start: 23, end: 29, category: 4
Time elapsed during the exhaustive search algorithm: 5.41750e+06 microseconds
