Movies watched: 13
Movie start: 0, end: 1, category: 17
Movie start: 1, end: 2, category: 2
Movie start: 2, end: 3, category: 10
Movie start: 3, end: 4, category: 32
Movie start: 4, end: 5, category: 2
Movie start: 5, end: 10, category: 19
Movie start: 10, end: 11, category: 30
Movie start: 11, end: 12, category: 26
Movie start: 12, end: 15, category: 13
Movie start: 15, end: 17, category: 6
Movie start: 17, end: 20, category: 31
Movie start: 20, end: 23, category: 28
Movie start: 23, end: 26, category: 8
Time elapsed during the aleatory algorithm: 5747 microseconds
