Movies watched: 15
Movie start: 0, end: 1, category: 13
Movie start: 1, end: 2, category: 2
Movie start: 2, end: 3, category: 8
Movie start: 3, end: 4, category: 11
Movie start: 4, end: 5, category: 4
Movie start: 5, end: 6, category: 1
Movie start: 6, end: 9, category: 3
Movie start: 9, end: 12, category: 6
Movie start: 12, end: 13, category: 14
Movie start: 13, end: 14, category: 13
Movie start: 14, end: 16, category: 8
Movie start: 16, end: 17, category: 1
Movie start: 17, end: 19, category: 15
Movie start: 20, end: 22, category: 3
Movie start: 22, end: 24, category: 10
Time elapsed during the aleatory algorithm: 421 microseconds
