Movies watched: 13
Movie start: 0, end: 1, category: 9
Movie start: 1, end: 2, category: 11
Movie start: 2, end: 3, category: 7
Movie start: 3, end: 7, category: 4
Movie start: 7, end: 8, category: 11
Movie start: 8, end: 10, category: 2
Movie start: 10, end: 12, category: 4
Movie start: 12, end: 14, category: 15
Movie start: 14, end: 17, category: 7
Movie start: 17, end: 19, category: 15
Movie start: 19, end: 20, category: 13
Movie start: 20, end: 23, category: 5
Movie start: 23, end: 29, category: 4
Time elapsed during the aleatory algorithm: 7670 microseconds
