Movies watched: 12
Movie start: 0, end: 1, category: 10
Movie start: 1, end: 2, category: 12
Movie start: 2, end: 3, category: 44
Movie start: 3, end: 7, category: 42
Movie start: 7, end: 8, category: 9
Movie start: 8, end: 9, category: 50
Movie start: 9, end: 10, category: 3
Movie start: 10, end: 12, category: 48
Movie start: 12, end: 14, category: 3
Movie start: 14, end: 17, category: 10
Movie start: 17, end: 22, category: 54
Movie start: 22, end: 25, category: 17
Time elapsed during the aleatory algorithm: 448289 microseconds
