Movies watched: 12
Movie start: 0, end: 1, category: 1
Movie start: 1, end: 2, category: 31
Movie start: 2, end: 4, category: 6
Movie start: 4, end: 6, category: 20
Movie start: 6, end: 8, category: 4
Movie start: 8, end: 10, category: 2
Movie start: 10, end: 12, category: 23
Movie start: 12, end: 16, category: 1
Movie start: 16, end: 19, category: 22
Movie start: 19, end: 21, category: 3
Movie start: 21, end: 22, category: 15
Movie start: 22, end: 27, category: 16
Time elapsed during the aleatory algorithm: 59405 microseconds
