Movies watched: 13
Movie start: 0, end: 1, category: 20
Movie start: 1, end: 2, category: 9
Movie start: 2, end: 4, category: 30
Movie start: 4, end: 5, category: 32
Movie start: 5, end: 9, category: 4
Movie start: 9, end: 10, category: 25
Movie start: 10, end: 11, category: 35
Movie start: 11, end: 12, category: 24
Movie start: 12, end: 14, category: 56
Movie start: 14, end: 18, category: 64
Movie start: 18, end: 22, category: 58
Movie start: 22, end: 23, category: 44
Movie start: 23, end: 26, category: 18
Time elapsed during the aleatory algorithm: 380 microseconds
