Movies watched: 12
Movie start: 0, end: 1, category: 7
Movie start: 1, end: 2, category: 4
Movie start: 2, end: 4, category: 9
Movie start: 4, end: 8, category: 1
Movie start: 8, end: 9, category: 16
Movie start: 9, end: 10, category: 13
Movie start: 10, end: 13, category: 3
Movie start: 13, end: 17, category: 10
Movie start: 17, end: 18, category: 3
Movie start: 18, end: 21, category: 10
Movie start: 21, end: 23, category: 4
Movie start: 23, end: 27, category: 8
Time elapsed during the aleatory algorithm: 49805 microseconds
