Movies watched: 12
Movie start: 0, end: 1, category: 16
Movie start: 1, end: 2, category: 34
Movie start: 2, end: 5, category: 27
Movie start: 5, end: 7, category: 50
Movie start: 7, end: 9, category: 33
Movie start: 9, end: 11, category: 6
Movie start: 11, end: 14, category: 27
Movie start: 14, end: 16, category: 15
Movie start: 16, end: 19, category: 36
Movie start: 19, end: 22, category: 50
Movie start: 22, end: 23, category: 4
Movie start: 23, end: 27, category: 59
Time elapsed during the aleatory algorithm: 122911 microseconds
