Movies watched: 13
Movie start: 0, end: 1, category: 11
Movie start: 1, end: 2, category: 11
Movie start: 2, end: 3, category: 23
Movie start: 3, end: 4, category: 8
Movie start: 4, end: 5, category: 31
Movie start: 5, end: 7, category: 4
Movie start: 7, end: 8, category: 32
Movie start: 8, end: 12, category: 24
Movie start: 13, end: 15, category: 10
Movie start: 15, end: 17, category: 7
Movie start: 17, end: 20, category: 16
Movie start: 20, end: 22, category: 5
Movie start: 22, end: 25, category: 25
Time elapsed during the aleatory algorithm: 382 microseconds
