Movies watched: 12
Movie start: 0, end: 1, category: 3
Movie start: 1, end: 4, category: 2
Movie start: 4, end: 5, category: 5
Movie start: 5, end: 7, category: 15
Movie start: 7, end: 9, category: 9
Movie start: 9, end: 10, category: 15
Movie start: 10, end: 13, category: 7
Movie start: 13, end: 15, category: 3
Movie start: 15, end: 18, category: 16
Movie start: 18, end: 19, category: 10
Movie start: 19, end: 22, category: 16
Movie start: 22, end: 24, category: 6
Time elapsed during the aleatory algorithm: 421052 microseconds
