Movies watched: 13
Movie start: 0, end: 1, category: 7
Movie start: 1, end: 2, category: 15
Movie start: 2, end: 3, category: 14
Movie start: 3, end: 4, category: 4
Movie start: 4, end: 7, category: 1
Movie start: 7, end: 9, category: 2
Movie start: 9, end: 10, category: 14
Movie start: 10, end: 12, category: 7
Movie start: 12, end: 13, category: 16
Movie start: 13, end: 14, category: 12
Movie start: 14, end: 18, category: 11
Movie start: 18, end: 22, category: 15
Movie start: 22, end: 27, category: 3
Time elapsed during the aleatory algorithm: 5019 microseconds
