Movies watched: 13
Movie start: 0, end: 1, category: 2
Movie start: 1, end: 2, category: 5
Movie start: 2, end: 6, category: 2
Movie start: 6, end: 8, category: 2
Movie start: 8, end: 11, category: 6
Movie start: 11, end: 12, category: 8
Movie start: 12, end: 13, category: 3
Movie start: 13, end: 16, category: 8
Movie start: 16, end: 17, category: 3
Movie start: 17, end: 19, category: 4
Movie start: 19, end: 21, category: 1
Movie start: 21, end: 22, category: 7
Movie start: 22, end: 25, category: 7
Time elapsed during the aleatory algorithm: 411549 microseconds
