Movies watched: 17
Movie start: 0, end: 1, category: 21
Movie start: 1, end: 2, category: 47
Movie start: 2, end: 3, category: 52
Movie start: 3, end: 4, category: 59
Movie start: 4, end: 5, category: 59
Movie start: 5, end: 6, category: 6
Movie start: 6, end: 9, category: 57
Movie start: 9, end: 10, category: 43
Movie start: 10, end: 13, category: 49
Movie start: 13, end: 14, category: 54
Movie start: 14, end: 16, category: 37
Movie start: 16, end: 19, category: 16
Movie start: 19, end: 20, category: 57
Movie start: 20, end: 21, category: 18
Movie start: 21, end: 22, category: 1
Movie start: 22, end: 23, category: 19
Movie start: 23, end: 25, category: 44
Time elapsed during the aleatory algorithm: 5957 microseconds
