Movies watched: 12
Movie start: 0, end: 3, category: 11
Movie start: 3, end: 4, category: 59
Movie start: 4, end: 6, category: 36
Movie start: 6, end: 8, category: 54
Movie start: 8, end: 10, category: 60
Movie start: 10, end: 12, category: 56
Movie start: 12, end: 13, category: 22
Movie start: 13, end: 14, category: 13
Movie start: 14, end: 16, category: 20
Movie start: 16, end: 19, category: 61
Movie start: 19, end: 22, category: 45
Movie start: 23, end: 26, category: 13
Time elapsed during the aleatory algorithm: 38 microseconds
