Movies watched: 21
Movie start: 0, end: 1, category: 20
Movie start: 1, end: 2, category: 9
Movie start: 2, end: 4, category: 30
Movie start: 4, end: 5, category: 32
Movie start: 5, end: 6, category: 56
Movie start: 6, end: 7, category: 61
Movie start: 7, end: 8, category: 22
Movie start: 8, end: 9, category: 22
Movie start: 9, end: 10, category: 25
Movie start: 10, end: 11, category: 35
Movie start: 11, end: 12, category: 24
Movie start: 12, end: 13, category: 45
Movie start: 13, end: 15, category: 46
Movie start: 15, end: 16, category: 41
Movie start: 16, end: 17, category: 2
Movie start: 17, end: 18, category: 17
Movie start: 18, end: 19, category: 10
Movie start: 19, end: 21, category: 35
Movie start: 21, end: 22, category: 40
Movie start: 22, end: 23, category: 44
Movie start: 23, end: 24, category: 48
Time elapsed during the greedy algorithm: 282 microseconds
