Movies watched: 13
Movie start: 0, end: 2, category: 4
Movie start: 2, end: 3, category: 4
Movie start: 3, end: 5, category: 3
Movie start: 5, end: 8, category: 3
Movie start: 8, end: 9, category: 2
Movie start: 9, end: 11, category: 2
Movie start: 13, end: 14, category: 1
Movie start: 14, end: 16, category: 1
Movie start: 16, end: 18, category: 7
Movie start: 18, end: 19, category: 5
Movie start: 19, end: 20, category: 7
Movie start: 20, end: 22, category: 3
Movie start: 22, end: 25, category: 1
Time elapsed during the greedy algorithm: 23 microseconds
